KRZAST;NAZEVKRZ;MANDATYKRZ;KRAJ
1;"Støedoèeský";65;2100
2;"Jihoèeský";55;3100
3;"Plzeòský";45;3200
4;"Karlovarský";45;4100
5;"Ústecký";55;4200
6;"Liberecký";45;5100
7;"Královéhradecký";45;5200
8;"Pardubický";45;5300
9;"Vysoèina";45;6100
10;"Jihomoravský";65;6200
11;"Olomoucký";55;7100
12;"Zlínský";45;7200
13;"Moravskoslezský";65;8100
